"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights","subclass"
"X45",1501020001,45,92778154,619.518,0.8531321,5856.772,2494.74133516657,0.3888889,0.4460753,0.3652441,5226.39125034373,4791,54.7307143095498,4485.51,654.39,1,0,0,2003,5226.39125034373,168276561,5.22,5.76,10.98,27.72,80.73,53.01,4791,0.3888889,-0.0342444708400961,-0.681204816709217,0.619359865603437,0.120508500504236,-0.165235213312605,-0.209435879036243,2.71396364668585,-0.0358059300809417,-0.212619414964987,0.308616273283756,-0.108492700437869,0.693295240773935,0.702182250830826,1,11
"X46",1501020002,46,65360452,855.6116,0.8595938,8250.085,3788.22375593659,0.2222222,0.5204131,0.3729294,7413.48601673811,2266,55.1661007830971,2548.08,0,0,0,0,2003,7413.48601673811,0,0,1.44,1.44,5.22,29.25,24.03,2266,0.2222222,-0.232697660074386,-0.181851672952073,0.649493271741361,0.782924886585442,0.0886426151928899,-0.184717748169269,1.18447162796447,-0.49628041045481,-0.212619414964987,-0.156283035486195,-0.246995822324082,0.375496979535528,0.36676408401328,1.19393939393939,2
"X47",1501020003,47,27446251,1012.792,0.8650606,6086.673,3368.49669084352,0.1666667,0.3207473,0.213766,5577.01494203316,1195,55.1666055202484,992.97,2.43,0,0,0,2003,5577.01494203316,0,1.17,0.9,2.07,1.26,8.28,7.02,1195,0.1666667,-0.50712598764611,0.150594979041058,0.674987074405489,0.184140039536722,-0.593254343431288,-0.696632930456577,-0.0432002534628906,-0.494570492840989,-0.212619414964987,-0.353473989819905,-0.303414052043465,0.153081820749495,0.162943649403926,0.137762237762238,29
"X48",1501020004,48,197546605,1032.116,0.9313594,4525.815,12317.6226050543,0.1666667,0.9428952,0.9334415,5986.77892594767,2050,54.4423730435579,937.35,27.63,0,0,0,2003,5986.77892594767,0,0.09,1.98,2.07,2.43,5.85,3.42,2050,0.1666667,0.724084335567037,0.191466481487389,0.984164019614484,-0.247871116357195,1.53149992507348,1.61805006054644,-0.0871091152443656,-0.476838013882842,-0.212619414964987,-0.196052639721565,-0.309951786817814,0.474865715490746,0.431959740964231,3.58181818181818,46
"X49",1501020007,49,26623560,1154.968,0.8845998,3645.728,4705.75066674651,0.1111111,0.2106367,0.1821165,3844.48225001497,438,55.1682198555239,1482.21,79.47,0,0,0,2003,3844.48225001497,0,0,0.09,0.09,1.35,6.57,5.22,438,0.1111111,-0.513080740991389,0.45130636031872,0.76610592071685,-0.491459836251772,-0.969303137227139,-0.798426807452181,0.343027210362511,-0.440359771454655,-0.212619414964987,-0.492851723181827,-0.308014680218007,0.208002159362641,0.240194040208523,1.79090909090909,33
"X50",1501020010,50,39660642,1098.958,0.8381959,871.0142,4471.30819891092,0.2222222,0.543718,0.4904941,1546.0693247958,1549,55.1690720267918,1195.29,42.84,0,0,0,2003,1546.0693247958,0,0,0.09,0.09,0,5.13,5.13,1549,0.2222222,-0.418716505024094,0.332841609127508,0.549706588484838,-1.25943957304577,0.168233313404805,0.193404074002491,0.116520007515679,-0.466135196225961,-0.212619414964987,-0.288296027323049,-0.311888893417622,0.378099179984253,0.37274977066092,1.19393939393939,2
"X51",1501030006,51,37272821,1047.606,0.8239826,6638.991,6760.5118631478,0.05555556,0.7241879,0.8085497,6661.77616184021,1689,54.755166458502,274.5,314.37,1,1,0,2003,6661.77616184021,249995736,0,1.08,1.08,0,3.69,3.69,1689,0.05555556,-0.435999889779338,0.224228827424755,0.483424473645067,0.337009511071619,0.78457259601209,1.21636218152909,-0.610391909776022,-0.275067735451932,-0.212619414964987,-0.262519431985309,-0.315763106617236,0.228918231232927,0.232581578173634,1,33
"X52",1501030007,52,39108720,1218.003,0.9356116,7536.947,7360.96620592103,0.1666667,0.7946151,0.8157174,7503.95060111019,435,54.5290981207954,389.61,160.47,0,0,0,2003,7503.95060111019,0,0,0,0,0,1.17,1.17,435,0.1666667,-0.422711394205856,0.584629438185852,1.00399367273668,0.585543977052431,1.02509497633169,1.23941556221888,-0.51951903887229,-0.383362517660613,-0.212619414964987,-0.493404078796207,-0.322542979716561,0.233101283715982,0.225208198270192,0.895454545454546,47
"X53",1501030009,53,43961195,1260.288,0.9534893,8674.927,8546.4921254967,0.1111111,0.8128723,0.8350017,8650.84546103063,953,54.3932913870182,455.58,148.23,0,0,0,2003,8650.84546103063,0,0.81,0,0.81,1.71,2.07,0.36,953,0.1111111,-0.38758849661839,0.674064931921264,1.08736430196923,0.900511805762128,1.08744681201408,1.30143940658123,-0.467439434202676,-0.391975436011712,-0.212619414964987,-0.39803067604657,-0.320121596466802,0.219118667358217,0.211937496875974,0.716363636363636,5
"X54",1501030010,54,41372893,1157.758,0.9265327,9704.777,9399.07250314142,0.2777778,0.8239786,0.8419919,9647.45740683902,2106,54.8760504611703,454.14,113.49,0,0,0,2003,9647.45740683902,0,0,0,0,1.44,3.24,1.8,2106,0.2777778,-0.406322991092124,0.457207389703178,0.961655250806598,1.1855516293062,1.12537695423958,1.32392189631961,-0.4685762332132,-0.416420924861157,-0.212619414964987,-0.185742001586469,-0.316973798242115,0.209254061565089,0.200681813393588,0.397979797979798,18
"X55",1501030011,55,31193625,950.7279,0.8777771,10876.09,10102.6088550736,0.1111111,0.8288418,0.8196665,10731.0622853263,1003,54.6402561285557,304.11,60.66,0,0,0,2003,10731.0622853263,0,0,0,0,0,0,0,1003,0.1111111,-0.480001966765233,0.0193254170984311,0.734289031963547,1.50974529909779,1.14198571392291,1.25211700140886,-0.58701648012213,-0.453595800391272,-0.212619414964987,-0.388824749140234,-0.325690777941248,0.196366222807503,0.183537722067148,1.19393939393939,41
"X56",1501030012,56,34142810,904.2889,0.817844,10912.47,10508.4060063112,0.05555556,0.7716921,0.7890353,10836.7080011834,1552,54.8554118201846,509.76,92.7,0,0,0,2003,10836.7080011834,0,0,0.45,0.45,0,1.71,1.71,1552,0.05555556,-0.458655350302193,-0.0788960537205069,0.454797807764841,1.51981448274642,0.946808539783506,1.15359826951648,-0.424667371431725,-0.431050220001628,-0.212619414964987,-0.287743671708668,-0.321090149766706,0.201549656666295,0.19591603002526,0.397979797979798,18
"X57",1501030013,57,67436809,915.3237,0.8131173,10900.99,11277.9285681359,0.05555556,0.8018926,0.7674176,10971.6659815255,1740,55.3366631368001,973.62,168.57,0,0,0,2003,10971.6659815255,0,0,0,0,0.18,0.36,0.18,1740,0.05555556,-0.217668695625107,-0.0555567422324727,0.432755377631576,1.5166370713037,1.04994903304239,1.08406954095117,-0.0584759901668018,-0.377662792281209,-0.212619414964987,-0.253129386540846,-0.324722224641344,0.260833832607354,0.244521679791331,0.447727272727273,9
"X58",1501040002,58,51316582,1252.767,0.9322156,2727.76,9267.35927615506,0.1666667,0.8302496,0.8439643,3953.93486427907,757,54.9583712593454,736.29,131.04,1,1,0,2003,3953.93486427907,249994905,0,0,0,0,1.44,1.44,757,0.1666667,-0.334349169405539,0.658157533354774,0.988156811346581,-0.745533183573327,1.14679362062677,1.33026570089744,-0.245834677088727,-0.404071519872448,-0.212619414964987,-0.434117909519405,-0.321816564741633,0.408056334723099,0.385233302305358,1,34
"X59",1501040004,59,44799511,1311.5,0.8930121,4491.942,8505.06210192683,0.2222222,0.800872,0.7693683,5244.40201911128,990,54.5988981833825,716.85,115.65,0,0,0,2003,5244.40201911128,0,0.72,0.0900000000000001,0.81,1.17,2.43,1.26,990,0.2222222,-0.381520647322117,0.782381604622646,0.805335729041911,-0.257246417559223,1.04646348851763,1.09034355210001,-0.261181463730796,-0.414900998093316,-0.212619414964987,-0.391218290135881,-0.319153043166898,0.319587895744508,0.298881914773038,0.447727272727273,12
"X60",1501040005,60,43786891,1360.274,0.8805614,5957.696,9603.34745475346,0.1111111,0.8629292,0.7974559,6641.25564776627,2027,54.6092663979044,398.43,0,0,0,0,2003,6641.25564776627,0,0,0.9,0.9,1.71,6.93,5.22,2027,0.1111111,-0.388850133523492,0.885541750571587,0.747273299680994,0.148442043400155,1.25840071532729,1.18068133625148,-0.512556144932833,-0.49628041045481,-0.212619414964987,-0.20028736609848,-0.307046126918104,0.245996014915727,0.220878172764883,0.895454545454546,7
"X61",1501040007,61,56261040,1310.943,0.87502,8001.241,11007.0927276522,0.1666667,0.8874332,0.8219599,8564.83819893479,757,54.8009391902043,461.79,0,0,0,0,2003,8564.83819893479,0,0.45,0.27,0.72,0.45,5.94,5.49,757,0.1666667,-0.29856048590701,0.78120351381005,0.721431608365598,0.714050341894467,1.34208656976068,1.25949323412981,-0.462536988469793,-0.49628041045481,-0.212619414964987,-0.434117909519405,-0.309709648492839,0.233250000851173,0.208979403093578,0.716363636363636,5
"X62",1501050023,62,18905570,1237.947,0.7907187,6541.364,3015.78732287749,0.1666667,0.5674441,0.6248929,5880.31837303953,1276,55.170897397128,572.85,234,0,0,0,2003,5880.31837303953,0,0.18,0.18,0.36,0.36,1.08,0.72,1276,0.1666667,-0.568944639795831,0.626812280495396,0.32830204325813,0.309988505242482,0.249262490309479,0.625669194006183,-0.374861364783158,-0.331621677272021,-0.212619414964987,-0.338560388231641,-0.322785118041537,0.183712565915477,0.198410285701647,0.397979797979798,18
"X63",1501050026,63,14071193,1163.643,0.9058402,6517.813,1843.34370478682,0.1666667,0.4808418,0.6287341,5641.35000714753,20,55.1713650004069,391.5,334.89,0,0,0,2003,5641.35000714753,0,4.14,0.720000000000001,4.86,5.94,7.38,1.44,20,0.1666667,-0.603936541509946,0.469654543082222,0.865158120560845,0.3034701065589,-0.0465009553074408,0.638023595823447,-0.518026990170978,-0.260628431157442,-0.212619414964987,-0.569813272118793,-0.305835435293224,0.161595994342885,0.190340148030445,0.895454545454546,24
"X64",1501060001,64,134047529,1147.449,0.9048818,9284.692,11782.3213602487,0.2222222,0.8400373,0.7926696,9752.99750504662,826,120.081517708071,1629.99,207.81,1,1,0,2003,9752.99750504662,237946459,0.09,0.54,0.63,4.14,7.29,3.15,826,0.2222222,0.264469078765771,0.435403191880821,0.860688730703287,1.06928134307664,1.18022049123719,1.16528722154306,0.459691208817499,-0.350050789332095,-0.212619414964987,-0.421413730388662,-0.3060775736182,0.378438755102591,0.354629990605432,1,35
"X65",1501060010,65,71092003,1424.356,0.9253178,4743.406,7758.06746077319,0.1111111,0.7348205,0.4725655,5308.65502389497,845,245.41356150605,1669.59,168.75,0,0,0,2003,5308.65502389497,0,0.09,0.54,0.63,1.35,3.69,2.34,845,0.1111111,-0.191211886569043,1.02107930075611,0.955989702248639,-0.187646714507627,0.820884961986971,0.135740549994106,0.490953181606898,-0.377536131717222,-0.212619414964987,-0.417915478164255,-0.315763106617236,0.361980613035747,0.312351840620401,0.716363636363636,32
"X66",1501060028,66,38260615,1224.076,0.9409011,1946.646,8386.00398992582,0.1111111,0.8815669,0.8501118,3154.02562311109,918,221.499833349748,418.77,4.41,1,1,0,2003,3154.02562311109,249990500,0,0.09,0.09,0.27,0.63,0.36,918,0.1111111,-0.428850097663044,0.597474223652452,1.02866065693071,-0.961728354450448,1.32205203140521,1.3500378255386,-0.496498858909186,-0.493177226637134,-0.212619414964987,-0.404474824881005,-0.323995809666416,0.399108030239623,0.360261090930008,1,36
"X67",1501060029,67,45570610,1225.975,0.9506436,968.6358,5639.75707399172,0.1111111,0.8047461,0.7561992,1844.47103887345,772,272.998733322709,817.47,26.28,0,0,0,2003,1844.47103887345,0,0.09,0.18,0.27,2.16,4.05,1.89,772,0.1111111,-0.375939324140277,0.601490730749615,1.07409370230556,-1.23242006181783,1.05969428221092,1.0479879463071,-0.181747632870457,-0.477787968112743,-0.212619414964987,-0.431356131447505,-0.314794553317332,0.443872472096585,0.408930865017382,0.895454545454546,34
"X68",1501061023,68,8709111,1134.784,0.8367642,820.8188,1962.14887844097,0.3888889,0.1254784,0.008689356,1034.81818970768,525,278.187270100911,656.55,0,0,0,0,2003,1034.81818970768,0,0,0,0,0,0.27,0.27,525,0.3888889,-0.642748046348528,0.408615902578255,0.543030017680303,-1.27333255547886,-1.26013504620507,-1.35621828485419,-0.308784922296473,-0.49628041045481,-0.212619414964987,-0.476833410364803,-0.32496436296632,0.138427700759086,0.155296451822643,0.137762237762238,29
"X69",1501070018,69,7777451,1126.124,0.7040675,1253.5,1945.82665136755,0.1111111,0.3084123,0.1862722,1383.31124713142,544,278.188067626953,300.33,0,0,0,0,2003,1383.31124713142,0,0.18,0,0.18,0.27,0.54,0.27,544,0.1111111,-0.64949153266558,0.390299445779185,-0.0757860143642346,-1.15357591820272,-0.635380731548979,-0.785060883357626,-0.590000577524755,-0.49628041045481,-0.212619414964987,-0.473335158140395,-0.324237947991392,0.14662490916166,0.152409866030499,0.137762237762238,29
"X70",1501070019,70,6914402,1138.405,0.6938696,1635.266,1686.78063026934,0.1666667,0.2728101,0.190941,1644.9249931755,1582,167.313730773926,295.92,0,0,0,0,2003,1644.9249931755,0,0.09,0,0.09,0.09,0.27,0.18,1582,0.1666667,-0.655738402899835,0.416274550392277,-0.123342766063312,-1.04791148816424,-0.756969065156085,-0.770044682377608,-0.593482024494483,-0.49628041045481,-0.212619414964987,-0.282220115564867,-0.32496436296632,0.132892042650615,0.144333626338061,0.325619834710744,15
"X71",1501070041,71,201644259,1505.61,0.8566487,14615.06,8478.65091375478,0.1666667,0.8248891,0.7802667,13464.483296329,988,55.1153855319698,2145.15,1377.09,0,0,26.4380829081375,2003,13464.483296329,0,5.4,4.23,9.63,24.3,54.9,30.6,988,0.1666667,0.753743732429642,1.19293673502304,0.635759131435126,2.54460993864392,1.12848648617157,1.12539593488802,0.866381054832326,0.472736234325902,-0.0888798090257252,-0.391586527212135,-0.177986399705951,0.253863584270882,0.249598404995402,0.447727272727273,9
"X72",1501070048,72,7051731,1128.371,0.6983012,2216.563,1541.1423087184,0.05555556,0.1652829,0.02580151,2089.9216203847,1150,55.172087020874,398.88,0,1,1,0,2003,2089.9216203847,249998963,0.54,0,0.54,0.81,2.61,1.8,1150,0.05555556,-0.654744396253167,0.395051995251184,-0.10267650135885,-0.887021266960479,-1.12419505302869,-1.3011806855428,-0.512200895242044,-0.49628041045481,-0.212619414964987,-0.361759324035607,-0.318668766516947,0.103377447725762,0.114078777842339,1,37
"X73",1501071005,73,50102413,1421.804,0.902627,9789.792,7549.2454910946,0.3888889,0.9189068,0.8572558,9369.68952958024,746,55.1727440143454,405.18,0,0,0,0,2003,9369.68952958024,0,3.06,0.18,3.24,5.04,5.58,0.54,746,0.3888889,-0.343137495659848,1.01568165667399,0.850173726267954,1.20908191099635,1.44957494341783,1.3730149802253,-0.507227399571003,-0.49628041045481,-0.212619414964987,-0.436143213438799,-0.310678201792742,0.193864060183611,0.173753659401356,0.397979797979798,23
"X74",1501071006,74,45944960,1473.135,0.9114283,10679.01,6743.07009955433,0.5555556,0.9060627,0.7953824,9941.02126866644,437,55.1735316189853,427.05,0,0,0,0,2003,9941.02126866644,0,0,0.18,0.18,0,0.36,0.36,437,0.5555556,-0.37322972610796,1.12425002202653,0.891217592037288,1.45519789081109,1.40570988126766,1.17401236505287,-0.489962264598676,-0.49628041045481,-0.212619414964987,-0.493035841719954,-0.324722224641344,0.170451964692685,0.149459222767148,0.137762237762238,29
"X75",1501071007,75,42157368,1266.319,0.8680643,7451.551,1759.75854900434,0.3888889,0.552358,0.4870306,6384.33991543831,800,56.4530415217082,1349.46,533.52,1,0,0,2003,6384.33991543831,124886863,0.63,1.08,1.71,1.08,4.59,3.51,800,0.3888889,-0.400644850538092,0.686820884687453,0.688994489175052,0.561908242944193,0.197740568640869,0.182264463804091,0.238228551579865,-0.120858498798051,-0.212619414964987,-0.426200812379957,-0.313341723367477,0.22861924287877,0.232536555173649,1,39
"X76",1501071012,76,8250372,1008.492,0.7021532,1739.655,350.480263533632,0.1666667,0.01060225,0.1086458,1479.18473691256,1227,55.1722866482205,723.96,86.58,0,0,0,2003,1479.18473691256,0,0,0.09,0.09,0,0.81,0.81,1227,0.1666667,-0.64606846385019,0.141500202570388,-0.0847131356124858,-1.0190189094975,-1.65245910622664,-1.03472966843201,-0.255568518616335,-0.435356679177178,-0.212619414964987,-0.34758219659985,-0.323511533016465,0.130212504845716,0.175790933213062,0.397979797979798,23
"X77",1501071013,77,5238601,1078.15,0.6417222,1994.172,756.76514989324,0.1666667,0.1069537,0.2374851,1762.15821560498,1090,55.1725709279378,340.02,110.61,0,0,0,2003,1762.15821560498,0,0,0,0,0,0,0,1090,0.1666667,-0.667868086597324,0.288831351266648,-0.366526260072125,-0.948574203211185,-1.32340044563464,-0.620345496283954,-0.558667554797197,-0.418447493884945,-0.212619414964987,-0.37280643632321,-0.325690777941248,0.118109861073946,0.158112743802892,0.137762237762238,29
"X78",1501071014,78,1868925,1216.746,0.8471889,2746.368,1529.90921210784,0.2222222,0.283037,0.2263335,2518.28197727022,836,55.1730796813965,91.62,42.12,0,0,0,2003,2518.28197727022,0,0,0,0,0,0,0,836,0.2222222,-0.692258276150272,0.581970802366403,0.591644425493419,-0.740382898544917,-0.7220422424045,-0.65621224295307,-0.754765384112523,-0.466641838481908,-0.212619414964987,-0.419572545007395,-0.325690777941248,0.110128685208532,0.122196164547267,0.596969696969697,17
"X79",1501071016,79,5372239,1153.639,0.8276382,2518.784,1327.84642530023,0.1111111,0.09681742,0.2835846,2295.48320474379,1389,55.1731727600098,288,149.13,0,0,0,2003,2295.48320474379,0,0,0,0,0,0.63,0.63,1389,0.1111111,-0.666900795928584,0.448495439869994,0.500471950234478,-0.803373142950854,-1.35801778372541,-0.472076271412823,-0.599734419052363,-0.391342133191779,-0.212619414964987,-0.317754993423323,-0.323995809666416,0.111080593632668,0.155524794246332,0.137762237762238,29
"X80",1501071019,80,4741005,1229.59,0.8802133,2651.029,1375.71050098414,0.2222222,0.1845363,0.2856599,2411.90678143453,836,55.1728457132975,262.35,123.21,0,0,0,2003,2411.90678143453,0,0,0,0,0,0.36,0.36,836,0.2222222,-0.671469756538526,0.609136688177864,0.745649974754641,-0.766770636309512,-1.05844100349605,-0.465401510897523,-0.619983651427315,-0.409581254405872,-0.212619414964987,-0.419572545007395,-0.324722224641344,0.116334874983035,0.149054761564017,0.325619834710744,15
"X81",1501080001,81,25476671,1330.892,0.9167256,3121.166,6079.13350495543,0.1666667,0.6099491,0.5984313,3675.78490717914,704,117.598815260262,747.45,5.49,1,1,0,2003,3675.78490717914,249968640,0,0.72,0.72,0.09,2.52,2.43,704,0.1666667,-0.521382085128389,0.823396931441071,0.915920950647936,-0.636647057612092,0.394425208342916,0.54056109259836,-0.237024484757169,-0.492417263253214,-0.212619414964987,-0.443876192040121,-0.318910904841923,0.271922083393265,0.272812204275634,1,40
"X82",1501080005,82,70184984,1272.3,0.7813386,16099.48,6129.95061330801,0.1666667,0.7762346,0.6845561,14230.1932399953,577,55.1298068953149,1323.99,228.96,0,0,4.6480005654,2003,14230.1932399953,0,3.96,1.08,5.04,33.66,41.04,7.38,577,0.1666667,-0.197777017857074,0.699471084238866,0.284559009240095,2.95546473775572,0.962322047527698,0.81756317154024,0.218121419081228,-0.33516817306365,-0.190865123613134,-0.467259246382214,-0.215275701752239,0.125916566675826,0.122038545884038,0.596969696969697,17
"X83",1501080006,83,19079607,1537.375,0.9083408,4918.234,3137.72365472223,0.2222222,0.5164789,0.558395,4584.38831026042,799,55.1748807466947,676.62,169.2,0,0,0,2003,4584.38831026042,0,0,0.27,0.27,0,0.36,0.36,799,0.2222222,-0.56768493547434,1.26012175236975,0.876819385458394,-0.139258170282194,0.0752065684857461,0.411792859370059,-0.2929407860873,-0.377219480307255,-0.212619414964987,-0.426384930918084,-0.324722224641344,0.178132653942197,0.196185030693781,0.397979797979798,18
"X84",1501080013,84,19600290,1608.864,0.9030673,4859.192,4301.84797898246,0.1666667,0.7469924,0.6338048,4754.68999605921,1395,55.1754897739576,426.06,0.72,0,0,0,2003,4754.68999605921,0,0,0,0,0.36,0.72,0.36,1395,0.1666667,-0.563916158575018,1.41132558379108,0.852227015452306,-0.155599696972186,0.86245433235825,0.654332422568944,-0.490743813918411,-0.495773768198863,-0.212619414964987,-0.316650282194562,-0.323753671341441,0.197650770323292,0.181007500903192,1.19393939393939,42
"X85",1501080015,85,16193610,1339.727,0.8526895,3714.578,6180.94115319485,0.3888889,0.5649589,0.5559013,4177.02109122403,973,55.9386117935181,321.57,1.26,0,0,0,2003,4177.02109122403,0,0,0.09,0.09,0,2.43,2.43,973,0.3888889,-0.588574188292486,0.842083524491854,0.617295850629569,-0.472403670935455,0.240775056199216,0.403772404352952,-0.573232792119531,-0.495393786506902,-0.212619414964987,-0.394348305284035,-0.319153043166898,0.186409506640197,0.191426607543297,0.895454545454546,24
"X86",1501080016,86,19641274,1352.518,0.868884,4472.873,6283.3167058191,0.2222222,0.5622595,0.5786604,4812.33119484108,1409,55.7777033805847,330.84,42.21,0,0,0,2003,4812.33119484108,0,0,0.27,0.27,0,1.08,1.08,1409,0.2222222,-0.563619510609861,0.869137311895654,0.692817067290912,-0.262524297245742,0.231556088052893,0.476972202957374,-0.565914648489285,-0.466578508199914,-0.212619414964987,-0.314072622660788,-0.322785118041537,0.176898555922831,0.185465441638654,1.19393939393939,41
"X87",1501080017,87,19980545,1286.67,0.8757714,5356.531,6659.57243169389,0.3333333,0.6470429,0.6503311,5600.85126844261,853,55.5147954194442,339.03,33.3,0,0,0,2003,5600.85126844261,0,0,0.36,0.36,0.18,2.88,2.7,853,0.3333333,-0.561163819320901,0.729864558165267,0.724935677166693,-0.017947203112319,0.521107641708137,0.707485747246821,-0.559449104116932,-0.472848206117259,-0.212619414964987,-0.416442529859241,-0.317942351542019,0.196458229288713,0.197687343625616,0.397979797979798,18
"X88",1501080018,88,15668779,1309.731,0.8548535,3144.264,3984.97519577175,0.5,0.1721999,0.2980471,3301.8973492072,588,55.1735674004806,780.21,200.43,1,1,0,2003,3301.8973492072,249999128,0,1.53,1.53,0,4.5,4.5,588,0.5,-0.59237298900011,0.778640055883898,0.627387419548347,-0.630254039362617,-1.10057217288195,-0.425560719949168,-0.211162307267756,-0.355243872455552,-0.212619414964987,-0.46523394246282,-0.313583861692453,0.140276740237807,0.184375208722172,1,41
"X89",1501080019,89,12245573,1253.504,0.7401309,2277.073,2458.88915067826,0.1666667,0.2457546,0.1287951,2311.16352825217,1352,55.1746066502162,477.9,0,0,0,0,2003,2311.16352825217,0,0,3.6,3.6,0,6.3,6.3,1352,0.1666667,-0.617150636233491,0.659716335740561,0.0923915672186911,-0.870273430166138,-0.849368780901378,-0.96992373577122,-0.44981904953956,-0.49628041045481,-0.212619414964987,-0.324567379334011,-0.308741095192935,0.117647203236138,0.128253911787017,0.895454545454546,26
"X90",1501080020,90,8921207,1183.6,0.7696108,1648.687,2154.88701031395,0.1666667,0.1197822,0.082073,1743.59950193387,917,55.1746127735485,303.39,0,0,0,0,2003,1743.59950193387,0,0,2.16,2.16,0.18,8.82,8.64,917,0.1666667,-0.641212865623906,0.511864881227608,0.229867742158006,-1.04419685062306,-1.27958866047308,-1.12019542095981,-0.587584879627392,-0.49628041045481,-0.212619414964987,-0.404658943419131,-0.30196122209361,0.0983278393788046,0.118567357143133,0.596969696969697,17
"X91",1501080021,91,7319183,1185.697,0.8668388,1365.056,2081.66572675397,0.1666667,0.1534489,0.09209394,1499.42032376637,920,55.1750611305237,271.08,1.17,0,0,0,2003,1499.42032376637,0,0,1.26,1.26,0.54,5.04,4.5,920,0.1666667,-0.652808541002895,0.516300171055281,0.683279508717583,-1.12269967160828,-1.16461043016568,-1.08796520140689,-0.613091807426016,-0.495457116788896,-0.212619414964987,-0.404106587804751,-0.312131031742597,0.108701253064539,0.126130789945664,0.895454545454546,26
"X92",1501080022,92,9323939,1223.165,0.934241,641.4357,1812.02394820899,0.1666667,0.04915025,0.02433372,860.920996539185,686,55.1754239169034,537.84,0,0,0,0,2003,860.920996539185,0,0,0.45,0.45,0,2.97,2.97,686,0.1666667,-0.638297834677596,0.595547400079247,0.997602034862335,-1.32298185117318,-1.52081030126833,-1.30590151951223,-0.402499790726514,-0.49628041045481,-0.212619414964987,-0.447190325726402,-0.317700213217043,0.116830872851884,0.144490155354637,0.325619834710744,15
"X93",1501080023,93,26507126,1449.613,0.9342275,4361.558,4996.77323248849,0.2222222,0.5941596,0.6227165,4480.66085609159,1181,55.1996678161621,813.96,83.61,0,0,0,2003,4480.66085609159,0,0,1.53,1.53,0,5.22,5.22,1181,0.2222222,-0.51392350668471,1.07449947966767,0.997539079141261,-0.293333840342124,0.340501040918167,0.618669266870107,-0.184518580458609,-0.437446578482959,-0.212619414964987,-0.356051649353679,-0.311646755092646,0.235381360871748,0.246466968326664,0.447727272727273,9
"X94",1501080024,94,27550451,1358.199,0.9151285,4252.659,3514.44483038413,0.2222222,0.566071,0.5393486,4114.24384319702,528,55.1745227004542,723.96,27.09,0,0,0,2003,4114.24384319702,0,0,4.59,4.59,0.09,9.9,9.81,528,0.2222222,-0.506371773368115,0.881152992158415,0.908473055675579,-0.323474687789932,0.244573090753386,0.350534169696949,-0.255568518616335,-0.477217995574802,-0.212619414964987,-0.476281054750423,-0.299055562193899,0.214043258908537,0.218700116732253,0.895454545454546,7
"X95",1501080026,95,10454683,1225.575,0.9146006,672.8444,1756.76441515247,0.1666667,0.002668733,0,876.079402841089,2297,55.1759120647724,607.14,0,0,0,0,2003,876.079402841089,0,0,0,0,0,4.14,4.14,2297,0.1666667,-0.630113350324839,0.600644705031413,0.90601125381226,-1.31428861399713,-1.67955358667093,-1.38416574803165,-0.347791338345065,-0.49628041045481,-0.212619414964987,-0.150575360804267,-0.314552414992356,0.108841674626435,0.139576004726695,0.716363636363636,19
"X96",1501080027,96,56546484,1658.156,0.7998536,3235.11,6738.86016090548,0.6666667,0.7440628,0.5854291,3892.06315516978,529,55.1771103143692,1431.45,9.18,0,0,0,2003,3892.06315516978,0,4.77,0.81,5.58,12.06,32.04,19.98,529,0.6666667,-0.296494402026319,1.51558133304509,0.370901614845997,-0.605109865153087,0.852449187110614,0.498742285114127,0.302955045241554,-0.489820721691485,-0.212619414964987,-0.476096936212296,-0.239489534249829,0.307640476678925,0.281598383018941,3.58181818181818,27
"X97",1501080030,97,54469109,1178.629,0.9559744,7263.9,3577.4905410021,0.1666667,0.6780764,0.6454661,6572.69822643789,768,55.2337750562981,1204.92,123.39,1,1,0,2003,6572.69822643789,249999744,0,3.6,3.6,1.17,11.52,10.35,768,0.1666667,-0.311530734902997,0.501350896614654,1.09895328437221,0.50997057442172,0.627092989551701,0.691838510747552,0.124122350898556,-0.409454593841885,-0.212619414964987,-0.432092605600012,-0.294697072344333,0.281325844602261,0.27626899974666,1,43
