"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights","subclass"
"X11",1302070002,11,421458481,1016.942,0.891535,3820.417,4983.74497724736,0.2222222,0.7580696,0.6814985,4038.54099573388,25412,57.4702672974008,5790.42,763.47,1,1,12.0194690550187,2003,4038.54099573388,2.5e+08,15.66,29.07,44.73,85.86,344.43,258.57,25412,0.2222222,2.34479003510498,0.159372495867402,0.798447440479099,-0.443109764168372,0.90028509250882,0.807729052255519,3.74411670003473,0.0409503716950352,-0.15636403632672,4.10532464799471,0.600972591741506,0.632528718045792,0.628292862682578,1,11
"X12",1302080001,12,72521582,131.0403,0.6320838,1500.221,1052.71020090045,0.1666667,0.1362841,0.1313082,1416.31272516883,3729,55.0149974165292,1311.75,587.25,0,0,0,2003,1416.31272516883,0,0,41.85,41.85,1.08,90.45,89.37,3729,0.1666667,-0.18086439239129,-1.71436655912942,-0.411473846886704,-1.08528897320625,-1.22323151056799,-0.961840884785339,0.208458627491777,-0.0830503204480034,-0.212619414964987,0.113082385793186,-0.0823417613404723,0.220279335204574,0.252368168136831,1.79090909090909,45
"X13",1302080002,13,180501014,797.131,0.8956217,5675.434,4163.84980827095,0.1666667,0.621837,0.6030046,5392.0119640508,16095,58.1046965048863,3714.57,1463.13,0,0,0,2003,5392.0119640508,0,0.18,10.71,10.89,22.77,73.26,50.49,16095,0.1666667,0.60070594680443,-0.305541901991759,0.817505303094796,0.0703181314972598,0.435024664305972,0.555270138165083,2.10534987642676,0.533279983911574,-0.212619414964987,2.38989222826812,-0.128590181410868,0.618374368960274,0.616371642836052,10.7454545454545,11
"X14",1302080003,14,26121972,124.4079,0.654682,2574.15,708.145495988462,0.1666667,0.02317733,0.01498089,2224.27415549784,9828,56.9371340105611,1037.16,18,0,0,0,2003,2224.27415549784,0,0,6.48,6.48,0,34.92,34.92,9828,0.1666667,-0.516711305590918,-1.72839451156293,-0.306089700518717,-0.788049052189732,-1.60951279891484,-1.33598290552404,-0.00831473382744674,-0.483614354056134,-0.212619414964987,1.23602134982801,-0.2317411078506,0.169295367909552,0.200334190226274,0.397979797979798,18
"X15",1302090002,15,37157036,339.8877,0.829263,4728.322,2393.46581308456,0,0.6150361,0.582134,4290.53646495335,26220,55.6743002159651,1277.01,33.39,0,0,0,2003,4290.53646495335,0,0,1.35,1.35,0.9,5.76,4.86,26220,0,-0.436837957919239,-1.27264088018046,0.508049021019704,-0.191821633863202,0.411798287901464,0.488144297654982,0.181033351362895,-0.472784875835266,-0.212619414964987,4.25409242680109,-0.31019392514279,0.355173301282496,0.330345349251509,0.895454545454546,22
"X16",1302090003,16,163053444,1083.354,0.8742224,2602.993,3696.1922896609,0.2222222,0.6718057,0.6195208,2807.96786681142,4056,57.8727592995826,2792.43,36.9,1,0,0,2003,2807.96786681142,0,2.25,9,11.25,7.02,44.1,37.08,4056,0.2222222,0.474417977415583,0.299838145860454,0.717712091096829,-0.780065944328897,0.60567734772198,0.608390978343752,1.3773722100627,-0.470314994837524,-0.212619414964987,0.173289147760621,-0.207042998703059,0.608899256168727,0.595615655370049,1,4
"X17",1302090004,17,142934393,1033.759,0.9321618,6387.497,4043.36103056953,0.2222222,0.789981,0.7622262,5947.97150573179,8633,58.1028949575713,2266.29,589.14,1,0,0,2003,5947.97150573179,0,0.45,12.78,13.23,5.4,38.43,33.03,8633,0.2222222,0.328793452234102,0.194941532124903,0.987905921139635,0.267401504680016,1.00926863703893,1.06737250835871,0.962014271592626,-0.0817203845261424,-0.212619414964987,1.01599969676659,-0.22229771317654,0.486070566399468,0.46426803571917,1,10
"X18",1302100001,18,54758673,455.7721,0.7228177,1674.272,1568.40828592648,0.3333333,0.2948216,0.1636364,1654.42255361122,13309,57.1857766797466,1448.64,440.01,0,0,0,2003,1654.42255361122,0,0,1.8,1.8,0,14.49,14.49,13309,0.3333333,-0.309434829881948,-1.02753792333448,0.0116534198043733,-1.037115485487,-0.681795575731476,-0.857864113768757,0.316525583429679,-0.186658661789174,-0.212619414964987,1.8769379810471,-0.286706507620128,0.293886727267006,0.291416748007933,0.447727272727273,12
"X19",1302100002,19,65002517,952.4656,0.8642186,3022.043,3692.56113211598,0.1666667,0.6495382,0.3389136,3147.76514977175,6196,59.073482131958,753.12,236.88,0,0,0,2003,3147.76514977175,0,0,0.36,0.36,0,2.16,2.16,6196,0.1666667,-0.235288444024426,0.0230007643247295,0.671060502765188,-0.664082123329583,0.529629569253339,-0.294122325211784,-0.232548338653232,-0.329595108248233,-0.212619414964987,0.567302819351788,-0.319879458141826,0.266871414298435,0.216188925786017,0.716363636363636,5
"X20",1302100003,20,57225984,556.812,0.8045037,1211.083,1590.34350564102,0.3333333,0.3804724,0.1528494,1282.19434480769,7255,59.0016116811268,2174.85,762.66,1,1,0,2003,1282.19434480769,2.5e+08,0,1.08,1.08,0,4.68,4.68,7255,0.3333333,-0.291576085309451,-0.813832038423129,0.392586829554504,-1.16531601063877,-0.38928168490126,-0.892558202179367,0.889827534424375,0.0403803991570948,-0.212619414964987,0.762284351227977,-0.313099585042501,0.473243900150837,0.444368944272234,1,16
