,ID2003_d,NM.2003,VCA,HKD,HKD_Sisa,HKDPer_2,HKDII,HKDII_tdklnjt,HKDII_tdkcair,YearI,YearII,YearIII,YearIV,Combined Boundary
73,1501071005,PUNGUT HILIR,0,0,250000000,0,0,0,0,0,0,0,0,0
74,1501071006,PUNGUT TENGAH,0,0,250000000,0,0,0,0,0,0,0,0,0
75,1501071007,PUNGUT MUDIK,1,124886863,125113137,0.499547452,0,1,0,0,1,0,0,0
76,1501071012,SUNGAI MEDANG,0,0,250000000,0,0,0,0,0,0,0,0,0
77,1501071013,AIR HANGAT,0,0,250000000,0,0,0,0,0,0,0,0,0
78,1501071014,KEMANTAN TINGGI,0,0,250000000,0,0,0,0,0,0,0,0,0
79,1501071016,KEMANTAN DARAT,0,0,250000000,0,0,0,0,0,0,0,0,0
80,1501071019,KEMANTAN AGUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
81,1501080001,AIR TERJUN,1,249968640,31360,0.99987456,1,0,0,0,0,0,1,0
82,1501080005,SUNGAI LANGKAP,0,0,250000000,0,0,0,0,0,0,0,0,0
83,1501080006,MUKAI PINTU,0,0,250000000,0,0,0,0,0,0,0,0,0
84,1501080013,MUKAI TINGGI,0,0,250000000,0,0,0,0,0,0,0,0,0
85,1501080015,KOTO ARO,0,0,250000000,0,0,0,0,0,0,0,0,0
86,1501080016,KOTO RENDAH,0,0,250000000,0,0,0,0,0,0,0,0,0
87,1501080017,KOTO KAPEH,0,0,250000000,0,0,0,0,0,0,0,0,0
88,1501080018,SUNGAI GELAMPEH,1,249999128,872,0.999996512,1,0,0,0,0,1,0,0
89,1501080019,SUNGAI PEGEH,0,0,250000000,0,0,0,0,0,0,0,0,0
90,1501080020,SUNGAI LEBUH,0,0,250000000,0,0,0,0,0,0,0,0,0
91,1501080021,KOTO LEBUH TINGGI,0,0,250000000,0,0,0,0,0,0,0,0,0
92,1501080022,LUBUK NAGODANG,0,0,250000000,0,0,0,0,0,0,0,0,0
93,1501080023,TANJUNG GENTING,0,0,250000000,0,0,0,0,0,0,0,0,0
94,1501080024,SIMPANG TUTUP,0,0,250000000,0,0,0,0,0,0,0,0,0
95,1501080026,KEL. SIULAK DERAS,0,0,250000000,0,0,0,0,0,0,0,0,0
96,1501080027,DANAU TINGGI,0,0,250000000,0,0,0,0,0,0,0,0,0
97,1501080030,SUKO PANGKAT,1,249999744,256,0.999998976,1,0,0,0,0,0,1,0
98,1501080031,SUNGAI BETUNG HILIR,0,0,250000000,0,0,0,0,0,0,0,0,0
99,1501080032,SUNGAI BETUNG MUDIK,1,249998736,1264,0.999994944,1,0,0,0,0,1,0,0
