"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights"
"X37",1501010003,21822556,1373.764,0.7529179,2058.161,1082.59684541836,0.4749454,0.7206252,1997.18824033865,1936.2154806773,1875.24272101594,1814.26996135459,1753.29720169324,1692.32444203189,1631.35168237053,1570.37892270918,1509.40616304783,1448.43340338648,1387.46064372513,1326.48788406377,1265.51512440242,1204.54236474107,1143.56960507972,1082.59684541836,53.010425932511,232.02,665.73,0,0,0,-0.547831084230461,0.914073967917944,0.152022293542356,-0.93086345575402,-0.0666382909294231,0.93357175078295,-0.643927480586469,-0.0278263145497758,-0.212619414964987,-0.276448106132514,0.201552976072779,0.24175568887142,0.601190476190476
"X39",1501010005,60826821,1412.175,0.8026425,5926.967,5014.5005596948,0.6677665,0.6974463,5869.93784748092,5812.90869496185,5755.87954244277,5698.8503899237,5641.82123740462,5584.79208488555,5527.76293236647,5470.7337798474,5413.70462732832,5356.67547480925,5299.64632229017,5242.6171697711,5185.58801725202,5128.55886473295,5071.52971221387,5014.5005596948,51.8611713892977,1008,465.12,0,0,0,-0.265512719876314,0.995315702572571,0.383907334142475,0.139936932230872,0.59188270589912,0.85902175487485,-0.0313349137905502,-0.16898951311302,-0.212619414964987,-0.298122281275414,0.235769253766191,0.242165168137351,3.60714285714286
"X41",1501010007,72033611,1058.642,0.773277,10007.11,6044.87473490466,0.5063346,0.5117197,9759.47029593154,9511.83059186308,9264.19088779462,9016.55118372617,8768.91147965771,8521.27177558925,8273.63207152079,8025.99236745233,7778.35266338387,7530.71295931541,7283.07325524695,7035.43355117849,6787.79384711004,6540.15414304158,6292.51443897312,6044.87473490466,50.583327293396,2009.25,1001.61,0,0,0,-0.184396395226679,0.247570676989944,0.246964650646926,1.26923075245185,0.0405618405585234,0.261671696415417,0.759095648214159,0.208522297849519,-0.212619414964987,-0.322221569725868,0.208411937271896,0.227126637429664,1.80357142857143
"X42",1501010011,49308062,1042.286,0.9006952,1880.29,6774.67452001349,0.7541103,0.8215361,2186.18903250084,2492.08806500169,2797.98709750253,3103.88613000337,3409.78516250421,3715.68419500506,4021.5832275059,4327.48226000674,4633.38129250759,4939.28032500843,5245.17935750927,5551.07839001012,5856.97742251096,6162.8764550118,6468.77548751265,6774.67452001349,54.4782605535334,416.07,365.49,0,0,0,-0.34888712009305,0.212976685372671,0.841164995751644,-0.980094235434174,0.886763324493062,1.25813017167793,-0.498630357053918,-0.239096135279692,-0.212619414964987,-0.248765722934884,0.337971620111131,0.330129235090255,1.20238095238095
"X43",1501010015,48973912,1224.567,0.8729371,4022.106,6332.06027167713,0.7387253,0.7801852,4166.47814197982,4310.85028395964,4455.22242593946,4599.59456791928,4743.9667098991,4888.33885187892,5032.71099385874,5177.08313583856,5321.45527781838,5465.82741979821,5610.19956177803,5754.57170375785,5898.94384573767,6043.31598771749,6187.68812969731,6332.06027167713,54.6089368138995,690.3,304.29,1,0,0,-0.351305744862647,0.598512720221545,0.711718240111937,-0.387286686078572,0.834220602061715,1.12513380749343,-0.282141195487325,-0.282160727035191,-0.212619414964987,-0.246301255710526,0.29174417960802,0.288671513231809,1
"X44",1501010016,42903793,1054.024,0.7190017,5764.995,6714.32367411348,0.7139262,0.7874161,5824.32804213209,5883.66108426418,5942.99412639628,6002.32716852837,6061.66021066046,6120.99325279255,6180.32629492465,6239.65933705674,6298.99237918883,6358.32542132092,6417.65846345302,6476.99150558511,6536.3245477172,6595.65758984929,6654.99063198139,6714.32367411348,54.9560819661842,694.89,315.9,0,0,0,-0.395242121243923,0.237803310073304,-0.0061420640191278,0.0951066459764853,0.749526924593581,1.14839045752478,-0.278517648641281,-0.273991120658045,-0.212619414964987,-0.239754329378966,0.231931782692419,0.237546235949893,1.20238095238095
"X45",1501020001,92778154,619.518,0.8531321,5856.772,2494.74133516657,0.4460753,0.3652441,5646.64508344791,5436.51816689582,5226.39125034373,5016.26433379164,4806.13741723955,4596.01050068746,4385.88358413537,4175.75666758328,3965.62975103119,3755.5028344791,3545.37591792701,3335.24900137492,3125.12208482284,2914.99516827075,2704.86825171866,2494.74133516657,54.7307143095498,4485.51,654.39,1,0,0,-0.0342444708400961,-0.681204816709217,0.619359865603437,0.120508500504236,-0.165235213312605,-0.209435879036243,2.71396364668585,-0.0358059300809417,-0.212619414964987,-0.244004613261057,0.527914253377006,0.541642775967105,1
"X46",1501020002,65360452,855.6116,0.8595938,8250.085,3788.22375593659,0.5204131,0.3729294,7971.21867224604,7692.35234449207,7413.48601673811,7134.61968898415,6855.75336123018,6576.88703347622,6298.02070572226,6019.15437796829,5740.28805021433,5461.42172246037,5182.5553947064,4903.68906695244,4624.82273919848,4345.95641144451,4067.09008369055,3788.22375593659,55.1661007830971,2548.08,0,0,0,0,-0.232697660074386,-0.181851672952073,0.649493271741361,0.782924886585442,0.0886426151928899,-0.184717748169269,1.18447162796447,-0.49628041045481,-0.212619414964987,-0.235793514389845,0.301129557309158,0.294952521545093,0.601190476190476
"X50",1501020010,39660642,1098.958,0.8381959,871.0142,4471.30819891092,0.543718,0.4904941,1096.03257493193,1321.05094986386,1546.0693247958,1771.08769972773,1996.10607465966,2221.12444959159,2446.14282452353,2671.16119945546,2896.17957438739,3121.19794931932,3346.21632425126,3571.23469918319,3796.25307411512,4021.27144904705,4246.28982397899,4471.30819891092,55.1690720267918,1195.29,42.84,0,0,0,-0.418716505024094,0.332841609127508,0.549706588484838,-1.25943957304577,0.168233313404805,0.193404074002491,0.116520007515679,-0.466135196225961,-0.212619414964987,-0.235737478712971,0.330835594503592,0.322871281294626,1.20238095238095
"X51",1501030006,37272821,1047.606,0.8239826,6638.991,6760.5118631478,0.7241879,0.8085497,6646.58605394674,6654.18110789347,6661.77616184021,6669.37121578695,6676.96626973369,6684.56132368042,6692.15637762716,6699.7514315739,6707.34648552064,6714.94153946737,6722.53659341411,6730.13164736085,6737.72670130759,6745.32175525432,6752.91680920106,6760.5118631478,54.755166458502,274.5,314.37,1,1,0,-0.435999889779338,0.224228827424755,0.483424473645067,0.337009511071619,0.78457259601209,1.21636218152909,-0.610391909776022,-0.275067735451932,-0.212619414964987,-0.243543462019897,0.213342131962312,0.218409438073344,1
"X52",1501030007,39108720,1218.003,0.9356116,7536.947,7360.96620592103,0.7946151,0.8157174,7525.94820037007,7514.94940074013,7503.95060111019,7492.95180148026,7481.95300185032,7470.95420222039,7459.95540259045,7448.95660296052,7437.95780333058,7426.95900370065,7415.96020407071,7404.96140444078,7393.96260481084,7382.9638051809,7371.96500555097,7360.96620592103,54.5290981207954,389.61,160.47,0,0,0,-0.422711394205856,0.584629438185852,1.00399367273668,0.585543977052431,1.02509497633169,1.23941556221888,-0.51951903887229,-0.383362517660613,-0.212619414964987,-0.247806960280273,0.233512144199153,0.227783288660304,0.601190476190476
"X58",1501040002,51316582,1252.767,0.9322156,2727.76,9267.35927615506,0.8302496,0.8439643,3136.48495475969,3545.20990951938,3953.93486427907,4362.65981903876,4771.38477379846,5180.10972855815,5588.83468331784,5997.55963807753,6406.28459283722,6815.00954759691,7223.7345023566,7632.45945711629,8041.18441187599,8449.90936663568,8858.63432139537,9267.35927615506,54.9583712593454,736.29,131.04,1,1,0,-0.334349169405539,0.658157533354774,0.988156811346581,-0.745533183573327,1.14679362062677,1.33026570089744,-0.245834677088727,-0.404071519872448,-0.212619414964987,-0.239711154834892,0.362225072268342,0.343503854403732,1
"X59",1501040004,44799511,1311.5,0.8930121,4491.942,8505.06210192683,0.800872,0.7693683,4742.76200637043,4993.58201274085,5244.40201911128,5495.22202548171,5746.04203185213,5996.86203822256,6247.68204459299,6498.50205096341,6749.32205733384,7000.14206370427,7250.96207007469,7501.78207644512,7752.60208281555,8003.42208918597,8254.2420955564,8505.06210192683,54.5988981833825,716.85,115.65,0,0,0,-0.381520647322117,0.782381604622646,0.805335729041911,-0.257246417559223,1.04646348851763,1.09034355210001,-0.261181463730796,-0.414900998093316,-0.212619414964987,-0.246490577595138,0.29817520986814,0.280173357343878,0.601190476190476
