Estimate,RobustSE,z,Pr(>|z|),LL,UL,depvar,did_type,mtch,term,depvar2,model,obs,grp,r2
0.0136997,0.0052015,2.63,0.009,0.0034576,0.0239419,KSNP,Cont.,None,Long-Term,Log(Ha),1,3945,263,0.001
0.0324856,0.0807702,0.4,0.688,-0.1265557,0.1915269,KSNP,Cont.,None,Long-Term,Ha,3,3945,263,0.1306
0.0962411,0.0698499,1.38,0.169,-0.0412976,0.2337798,KSNP,Cont.,None,Long-Term,Ha,2,3945,263,0.0192
0.1936348,0.0617317,3.14,0.002,0.0720815,0.3151882,KSNP,Cont.,None,Long-Term,Ha,1,3945,263,0.0012
0.1399262,0.1789313,0.78,0.435,-0.2124003,0.4922526,KSNP,Dich.,None,Long-Term,Log(Ha),3,3945,263,0.2565
0.0536937,0.1583719,0.34,0.735,-0.25815,0.3655373,KSNP,Dich.,None,Long-Term,Log(Ha),2,3945,263,0.0322
0.3854966,0.1482825,2.6,0.01,0.0935195,0.6774737,KSNP,Dich.,None,Long-Term,Log(Ha),1,3945,263,0.0014
1.205268,2.08284,0.58,0.563,-2.895968,5.306505,KSNP,Dich.,None,Long-Term,Ha,3,3945,263,0.1307
1.842679,1.802143,1.02,0.307,-1.705849,5.391207,KSNP,Dich.,None,Long-Term,Ha,2,3945,263,0.0191
4.768885,1.570447,3.04,0.003,1.676581,7.86119,KSNP,Dich.,None,Long-Term,Ha,1,3945,263,0.0012
