"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights"
"X17",1302090004,17,142934393,1033.759,0.9321618,6387.497,4043.36103056953,0.2222222,0.789981,0.7622262,5947.97150573179,8633,58.1028949575713,2266.29,589.14,1,0,0,2003,5947.97150573179,0,0.45,12.78,13.23,5.4,38.43,33.03,8633,0.2222222,0.328793452234102,0.194941532124903,0.987905921139635,0.267401504680016,1.00926863703893,1.06737250835871,0.962014271592626,-0.0817203845261424,-0.212619414964987,1.01599969676659,-0.22229771317654,0.486070566399468,0.46426803571917,1
"X20",1302100003,20,57225984,556.812,0.8045037,1211.083,1590.34350564102,0.3333333,0.3804724,0.1528494,1282.19434480769,7255,59.0016116811268,2174.85,762.66,1,1,0,2003,1282.19434480769,2.5e+08,0,1.08,1.08,0,4.68,4.68,7255,0.3333333,-0.291576085309451,-0.813832038423129,0.392586829554504,-1.16531601063877,-0.38928168490126,-0.892558202179367,0.889827534424375,0.0403803991570948,-0.212619414964987,0.762284351227977,-0.313099585042501,0.473243900150837,0.444368944272234,1
"X21",1302100004,21,118789354,1089.532,0.8988265,1687.636,1869.07661449311,0.1666667,0.5008674,0.4862539,1721.65611521746,10001,57.640852419764,3049.02,992.52,1,1,0,2003,1721.65611521746,2.5e+08,0,1.98,1.98,0.36,7.65,7.29,10001,0.1666667,0.154028258793152,0.312905013078081,0.832450524939019,-1.03341662429183,0.0218903051619252,0.179766373652193,1.57993558375037,0.202125939368188,-0.212619414964987,1.26787385692393,-0.305109020318297,0.622238272710949,0.629396085919283,1
"X22",1303040001,22,127433260,1328.478,0.8740466,2466.778,1784.97018689222,0.1666667,0.2624936,0.2383892,2338.93903504229,5737,85.1248344572964,3356.73,37.26,1,1,0,2003,2338.93903504229,499787161,0.09,1.89,1.98,1.62,7.38,5.76,5737,0.1666667,0.216594068033526,0.818291166231723,0.716892267706847,-0.817767259631179,-0.792201889073082,-0.61743765116186,1.82285532231164,-0.47006167370955,-0.212619414964987,0.482792410351626,-0.305835435293224,0.497032197773291,0.540455579653844,1
"X23",1303040002,23,106157345,1618.917,0.9265665,2071.516,2374.9503036674,0.1666667,0.3334351,0.344829,2128.40993193764,15013,85.6621887951362,2330.1,238.32,1,1,0,2003,2128.40993193764,249938917,0.09,0.99,1.08,5.22,8.82,3.6,15013,0.1666667,0.0625959982599296,1.43258832515378,0.96181287327862,-0.927167085560854,-0.549923075724792,-0.275096700794975,1.01238867774645,-0.328581823736339,-0.212619414964987,2.19067597001502,-0.30196122209361,0.299498032258109,0.335701313177126,1
"X25",1303050004,25,108229679,1711.52,0.8710662,1622.607,1053.90814628576,0.4444444,0.1902112,0.100499,1515.97596492858,13890,84.5598534860919,4049.01,144.63,0,0,0,2003,1515.97596492858,0,4.23,0.63,4.86,21.96,33.21,11.25,13890,0.4444444,0.0775958436685147,1.6284496241104,0.702993509848471,-1.05141522086924,-1.03906013280865,-1.06093211577265,2.36937144662088,-0.394508647291448,-0.212619414964987,1.98391085169872,-0.236341736025142,0.442497335793497,0.489522348449857,0.781818181818182
"X26",1303071002,26,93353636,1482.62,0.8292262,1708.949,2096.92973789936,0.3888889,0.4008021,0.4631997,1781.69538835613,11216,84.3692120846835,2021.58,2650.59,0,0,0,2003,1781.69538835613,0,0,1.17,1.17,0,4.59,4.59,11216,0.3888889,-0.0300790510595861,1.14431140686939,0.507877408387444,-1.02751765477278,-0.319851864672949,0.105617448739254,0.768829489741767,1.36885972453223,-0.212619414964987,1.49157788074789,-0.313341723367477,0.339428698885777,0.37711235735068,0.781818181818182
"X30",1310040001,30,301793042,1066.594,0.8306361,5549.4,3760.32389981782,0.1111111,0.3369415,0.3305005,5213.94823121584,25412,31.9388246341185,5073.03,1385.55,1,1,48.7697555872,2003,5213.94823121584,249999995,0.81,5.76,6.57,2.88,32.04,29.16,25412,0.1111111,1.47863473110936,0.264389668267797,0.514452317360912,0.0354346930153901,-0.537948047974822,-0.321181269793901,3.17777764297949,0.47868928083328,0.0156403404447661,4.10532464799471,-0.239489534249829,0.759536791288097,0.779594425826041,1
"X31",1310040004,31,56127136,1112.749,0.8965412,4522.34,3877.89959848091,0.2777778,0.7192887,0.5256322,4401.50742471517,6196,31.8881665706635,1562.49,0,0,0,0,2003,4401.50742471517,0,0.45,0.18,0.63,0.45,0.81,0.36,6196,0.2777778,-0.299529701921219,0.362010460826811,0.821793287207928,-0.248832919908019,0.767840889431937,0.306418290001456,0.406403755199204,-0.49628041045481,-0.212619414964987,0.567302819351788,-0.323511533016465,0.3897767299248,0.343928289317905,2.34545454545455
"X32",1310040005,32,111708302,742.1192,0.8610894,6438.72,6641.59592849996,0.3333333,0.1019714,0.0875422,6476.75923659374,4791,31.9228875815868,1101.06,25.47,0,0,39.3485512026125,2003,6476.75923659374,0,0,2.25,2.25,0,5.58,5.58,4791,0.3333333,0.102774606954138,-0.421895396003199,0.656467832958978,0.281578904186156,-1.34041595463495,-1.10260490382481,0.0421307222645391,-0.478357940650683,-0.0284542378978748,0.308616273283756,-0.310678201792742,0.174256082498595,0.205182851766281,0.781818181818182
