"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights","subclass"
"X1",1302010001,463743729,50.49509,0.08679081,11271.33,1582.9979908511,0.06584024,0.07391308,10665.8092494282,10060.2884988564,9454.76774828458,8849.24699771277,8243.72624714097,7638.20549656916,7032.68474599736,6427.16399542555,5821.64324485375,5216.12249428194,4610.60174371013,4005.08099313833,3399.56024256652,2794.03949199472,2188.51874142291,1582.9979908511,57.2634752270034,17.19,1573.74,1,1,1262.73359649071,2.65085661658445,-1.88472485697434,-2.95438594924872,1.61913903591146,-1.46381078797928,-1.14644006598656,-0.813523682968963,0.611112900481438,5.69742172451319,-0.196238429482057,0.0877305321928765,0.0939345439267177,1,1
"X2",1302010002,462709037,163.0058,0.3420156,6281.543,4241.08687348021,0.2131038,0.2310532,6154.01449209251,6026.48598418503,5898.95747627754,5771.42896837005,5643.90046046257,5516.37195255508,5388.84344464759,5261.31493674011,5133.78642883262,5006.25792092513,4878.72941301765,4751.20090511016,4623.67239720267,4496.14388929519,4368.6153813877,4241.08687348021,57.5307326834944,512.91,6028.92,0,0,548.816296854219,2.64336737013794,-1.64675747139147,-1.76417404626093,0.238075768442905,-0.960877518084443,-0.641032332962196,-0.422180623596204,3.74608851971775,2.35603552653546,-0.191198131878329,0.144551693419262,0.154653134326188,0.601190476190476,26
"X3",1302020001,477010676,235.5219,0.4245429,4883.622,5347.07525550266,0.3153408,0.3188482,4912.58782846892,4941.55365693783,4970.51948540675,4999.48531387567,5028.45114234458,5057.4169708135,5086.38279928242,5115.34862775133,5144.31445622025,5173.28028468916,5202.24611315808,5231.211941627,5260.17777009591,5289.14359856483,5318.10942703375,5347.07525550266,57.5349319829837,3034.8,1567.62,1,1,126.541988392625,2.74688464780138,-1.49338125743223,-1.37931732924122,-0.148838010426396,-0.611718576699087,-0.358658411389056,1.56870969352145,0.606806441305888,0.379641976788744,-0.191118935887199,0.311686703669997,0.337803616272404,1,32
"X4",1302030001,976990574,387.2614,0.4909394,8906.944,4942.64298331092,0.3895979,0.3891916,8659.17518645693,8411.40637291386,8163.6375593708,7915.86874582773,7668.09993228466,7420.33111874159,7172.56230519853,6924.79349165546,6677.02467811239,6429.25586456932,6181.48705102626,5933.71823748319,5685.94942394012,5438.18061039705,5190.41179685399,4942.64298331092,57.2134133679167,1810.35,6416.1,0,0,2369.18992956782,6.36580957853172,-1.17244245876451,-1.06968477114712,0.964729007043115,-0.358116354153957,-0.132413844901352,0.602075284885583,4.01853539285327,10.8760298376537,-0.197182562797197,0.565630543958499,0.522377738672523,1.20238095238095,36
"X5",1302040001,255619988,400.8325,0.6857018,11478.65,8340.18050901945,0.5641644,0.4597445,11282.4956568137,11086.3413136274,10890.1869704411,10694.0326272549,10497.8782840686,10301.7239408823,10105.569597696,9909.41525450972,9713.26091132344,9517.10656813715,9320.95222495087,9124.79788176459,8928.6435385783,8732.48919539202,8536.33485220573,8340.18050901945,57.2473089609885,2089.08,704.79,0,0,59.292653841525,1.14442766215124,-1.14373870970379,-0.161432376328928,1.6765206509206,0.238061686490298,0.0945045337233706,0.822116943360062,-0.000340972164648774,0.0648912368828107,-0.196543314490416,0.220258624999275,0.217111002903265,3.60714285714286,37
"X6",1302040002,296320472,861.3413,0.8308674,12674.79,10624.4135982687,0.690527,0.6856033,12546.6414748918,12418.4929497836,12290.3444246754,12162.1958995672,12034.047374459,11905.8988493508,11777.7503242426,11649.6017991343,11521.4532740261,11393.3047489179,11265.1562238097,11137.0076987015,11008.8591735933,10880.7106484851,10752.5621233769,10624.4135982687,57.0794208576513,1568.7,1054.8,0,0,8.5488456172,1.43902349856303,-0.16973298905812,0.515530958715308,2.00758588812408,0.669614173815837,0.820931267339219,0.411306200932087,0.245950494507607,-0.172607785090632,-0.199709572285634,0.19971108012498,0.205874009071183,0.901785714285714,43
"X7",1302050002,532391925,824.8833,0.8419526,11892.12,9003.24310324983,0.7235831,0.725042,11711.5651939531,11531.0103879062,11350.4555818593,11169.9007758125,10989.3459697656,10808.7911637187,10628.2363576718,10447.6815516249,10267.126745578,10086.5719395311,9906.01713348426,9725.46232743737,9544.90752139049,9364.3527153436,9183.79790929671,9003.24310324983,56.9044477733489,1036.35,3280.41,0,0,40.2022452365625,3.14774192926969,-0.246844003143627,0.56722553347429,1.79096005067859,0.782507088145566,0.947777447426315,-0.00895418327086641,1.81204503792191,-0.0244586470026985,-0.203009448102404,0.194598512169129,0.195700479450456,0.901785714285714,8
"X8",1302060001,467427421,754.0819,0.8535022,12090.88,6380.38784324872,0.7857474,0.7649608,11733.974240203,11377.0684804061,11020.1627206091,10663.2569608122,10306.3512010152,9949.44544121827,9592.53968142132,9235.63392162436,8878.7281618274,8521.82240203045,8164.9166422335,7808.01088243654,7451.10512263959,7094.19936284263,6737.29360304568,6380.38784324872,57.0439200587857,5015.34,646.38,0,0,41.3176625950188,2.67751969817885,-0.396593516355366,0.621085785038206,1.84597244600569,0.994810081973257,1.07616776692622,3.13223463262039,-0.0414423251783526,-0.0192380981121923,-0.200379093704427,0.553923713346253,0.563731033680951,1.20238095238095,36
"X9",1302060002,170555139,444.7828,0.7189815,11697.72,3314.54697334104,0.5251715,0.5045119,11173.7716858338,10649.8233716676,10125.8750575014,9601.92674333526,9077.97842916907,8554.03011500289,8030.0818008367,7506.13348667052,6982.18517250433,6458.23685833815,5934.28854417196,5410.34023000578,4886.39191583959,4362.44360167341,3838.49528750722,3314.54697334104,57.38033200748,1959.21,1357.02,1,1,15.0930638318813,0.528716302541916,-1.05078099939707,-0.00623626443140065,1.73715440743252,0.104893462798826,0.238489342614918,0.719591882598463,0.458613581441378,-0.141978522527273,-0.194034588442974,0.200956176075771,0.212194107020566,1,44
"X10",1302070001,131371771,189.8073,0.5261708,6715.568,906.364065085732,0.3115968,0.1711398,6352.49275406786,5989.41750813572,5626.34226220358,5263.26701627143,4900.19177033929,4537.11652440715,4174.04127847501,3810.96603254287,3447.89078661072,3084.81554067858,2721.74029474644,2358.6650488143,1995.58980288216,1632.51455695002,1269.43931101787,906.364065085732,57.3857822999259,4308.48,811.98,0,0,32.8651117363563,0.245101565444663,-1.59007057567551,-0.905387127337032,0.358204339995767,-0.624505053968048,-0.833731025516216,2.5742084183296,0.0750853936894672,-0.0587990343595984,-0.193931799557996,0.385657546033292,0.397906334663762,14.4285714285714,10
